What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Processing Unit,Control Processing Unit,2
Which of the following is a programming language?,HTML,HTTP,Python,SQL,3
What does RAM stand for?,Read Access Memory,Random Access Memory,Random Allocate Memory,Run Access Memory,2
Which data structure uses FIFO order?,Stack,Queue,Tree,Graph,2
Which company developed the Windows operating system?,Apple,Microsoft,Google,IBM,2
What symbol is used to denote a comment in Python?,#,//,<!-->,%,1
Which of the following is a relational database?,MySQL,JSON,Redis,MongoDB,1
Which part of a computer stores permanent data?,RAM,Cache,ROM,Registers,3
What does HTML stand for?,Hyper Text Markup Language,High Text Markup Language,Hyperlink and Text Mark Language,Home Tool Markup Language,1
Which sorting algorithm has the best average case time complexity?,Bubble Sort,Merge Sort,Selection Sort,Insertion Sort,2
